Rank,College_Name,Location
1,Indian Institute of Technology Bombay,Mumbai
2,Indian Institute of Technology Kanpur,Kanpur
3,University of Delhi,New Delhi
4,Indian Institute of Technology Madras,Chennai
5,Vellore Institute of Technology,Vellore
6,Manipal Academy of Higher Education,Manipal
7,Indian Institute of Technology Kharagpur,Kharagpur
8,Lovely Professional University,Phagwara
9,Birla Institute of Technology and Science,Pilani
10,Indian Institute of Technology Delhi,New Delhi
11,Indian Institute of Science,Bangalore
12,SRM Institute of Science and Technology,Chennai
13,Indian Institute of Technology Guwahati,Guwahati
14,Chandigarh University,Mohali
15,Tata Institute of Fundamental Research,Mumbai
16,Amrita Vishwa Vidyapeetham,Coimbatore
17,Savitribai Phule Pune University,Pune
18,Parul University,Waghodia
19,"International Institute of Information Technology, Hyderabad",Hyderabad
20,Gujarat Technological University,Ahmedabad
21,Indian Institute of Technology Roorkee,Roorkee
22,Jawaharlal Nehru University,New Delhi
23,Christ University,Bangalore
24,Dr. A.P.J. Abdul Kalam Technical University,Lucknow
25,Anna University,Chennai
26,Gandhi Institute of Technology and Management,Visakhapatnam
27,Indian Statistical Institute,Kolkata
28,Tata Institute of Social Sciences,Mumbai
29,Amity University,Noida
30,Banaras Hindu University,Varanasi
31,Indian Institute of Technology Hyderabad,Eddumailaram
32,Panjab University,Chandigarh
33,APJ Abdul Kalam Technological University,Thiruvananthapuram
34,All India Institute of Medical Sciences Delhi,New Delhi
35,Tamil Nadu Agricultural University,Coimbatore
36,O.P. Jindal Global University,Sonipat
37,Narsee Monjee Institute of Management and Higher Studies,Mumbai
38,University of Petroleum and Energy Studies,Dehradun
39,Thapar Institute of Engineering and Technology,Patiala
40,Visvesvaraya Technological University,Belgaum
41,Indian Institute of Technology Gandhinagar,Chandkheda
42,University of Mumbai,Mumbai
43,"Indian Institute of Technology, BHU",Varanasi
44,University of Lucknow,Lucknow
45,Ashoka University,Sonipat
46,Aligarh Muslim University,Aligarh
47,Osmania University,Hyderabad
48,University of Calicut,Tenhipalam
49,Cochin University of Science and Technology,Kochi
50,Indian Institute of Technology Patna,Patna
51,University of Rajasthan,Jaipur
52,K L University,Vaddeswaram
53,National Institute of Design,Ahmedabad
54,Sharda University,Greater Noida
55,"National Institute of Technology, Karnataka",Mangalore
56,"Chitkara University, Punjab",Punjab
57,University of Calcutta,Kolkata
58,Rajiv Gandhi Proudyogiki Vishwavidyalaya,Bhopal
59,Shiv Nadar University,Dadri
60,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli
61,"National Institute of Technology, Calicut",Calicut
62,Azim Premji University,Bangalore
63,Delhi Technological University,New Delhi
64,Jamia Millia Islamia,New Delhi
65,Mahatma Gandhi University,Kottayam
66,"National Institute of Technology, Rourkela",Rourkela
67,University of Madras,Chennai
68,Kurukshetra University,Kurukshetra
69,National Law School of India University,Bangalore
70,University of Hyderabad,Hyderabad
71,KIIT University,Bhubaneswar
72,Birla Institute of Technology,Ranchi
73,Dr. Vishwanath Karad MIT World Peace University,Pune
74,University of Kerala,Thiruvananthapuram
75,West Bengal University of Health Sciences,Kolkata
76,Gujarat University,Ahmedabad
77,Jawaharlal Institute of Postgraduate Medical Education & Research,Puducherry
78,Indian Institute of Technology Jodhpur,Jodhpur
79,Graphic Era Hill University,Clement Town
80,Indian Institute of Foreign Trade,New Delhi
81,Andhra University,Visakhapatnam
82,Indian Institute of Technology Mandi,Mandi
83,"Indian Institute of Science Education and Research, Pune",Pune
84,Indian Institute of Technology Bhubaneswar,Bhubaneswar
85,Visva-Bharati University,Bolpur
86,Jawaharlal Nehru Technological University,Hyderabad
87,International Institute of Information Technology Bangalore,Bangalore
88,Indian Institute of Technology Indore,Indore
